"ID","Name","Source","Repository","License","Language","Formats","Tags","Duplicates","Elements","Relationship","Views"
"3846c562-eab4-4e07-aa95-87703e0e0e69","Data model test","GenMyModel","","","en","XML,JSON","","0","15","11","1"
"_ay028PGjEeqygJczXaaxEQ","payments-arch","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","18","20","1"
"47233919","Iterator","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","","0","62","105","2"
"88f977a5-f39f-4491-9eb8-0ca26da61a8d","RDM Infrastructure","GitHub","","","en","XML,CSV,JSON,ARCHIMATE","","0","261","409","10"
"_5FRNcP3_Eeuj5cUC8m1erQ","RM workflow","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","17","14","1"
"fc035d09","10 repositories","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","DUPLICATE","1","100","91","4"
"67201797","9 Database Session State","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","","0","40","66","1"
"_-GYt4C-VEeqqcaoAsxFIeg","mishlang","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","28","34","1"
"eee5a97e","Web Service","GitHub","CapgeminiNorway/AgileArchitect","Not found","en","XML,CSV,JSON,ARCHIMATE","DUPLICATE","1","10","12","1"
"5da4f0c7-67da-4085-8523-6b96dbaa9f06","1 Accountability","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","","0","34","46","10"
"79e36aa1","2 Row Data Gateway","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","","0","43","69","1"
"id-55d5ef7a83cc49bb8ed47978945fbdbc","(new model)","GitHub","DanielVyazhev/Repository-DanielVyazhev","Not found","en","XML,CSV,JSON,ARCHIMATE","","0","103","135","1"
"e85fd8e8","whore_parser","GitHub","cherkavi/html-parsing","Not found","en","XML,CSV,JSON,ARCHIMATE","DUPLICATE","1","34","35","3"
"d66e9045-de70-464d-bb30-dc4c42bd0890","TOOP-GOOPRA","GitHub","TOOP4EU/toop-goopra-models","Apache License 2.0","en","XML,CSV,JSON,ARCHIMATE","DUPLICATE","1","179","365","30"
"_viXHACfbEeuxZMUIY-ihGw","payments-arch1","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","17","16","1"
"0abc7d0a-a7c0-42ac-b494-81ca452966f5","PaladinFutureDesign","GitHub","HaikuArchives/Paladin","MIT License","en","XML,CSV,JSON,ARCHIMATE","","0","50","111","2"
"828aac43","Abstract Factory","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","","0","68","86","4"
"_oNnyMKCSEey6N7ehWr0kcg","AiRo Tech Solutions Inc.","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","20","20","1"
"EAPK_B38EE707_FE6B_4a3f_BB6C_FABD6E8098C5","OOTS - Emrex","GitHub","onderwijsarchitectuur/OOTS-Emrex","Not found","en","XML,CSV,JSON,ARCHIMATE","","0","21","21","1"
"799298e6-cefa-47aa-986f-1ab9d5c10d21","(new model)","GitHub","Arktect-Co/archimate-model-importer","MIT","en","ARCHIMATE,XML,CSV,JSON","WARNING","0","97","45","4"
"5b89998c","Factory Method","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","","0","35","48","2"
"id-618c3012","WFL Model","Other","","","en","XML,CSV,JSON,ARCHIMATE","","0","53","119","6"
"001bf72f","export.uploader","GitHub","cherkavi/java-web","Not found","en","XML,CSV,JSON,ARCHIMATE","","0","62","65","3"
"_KWDfwBfcEeqDmNBP3mfLQg","PRINCE2","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","12","18","2"
"674bbb1d-d985-4afa-b736-e7f968cee52f","7. Valuation Databasebeheer","Other","","","en","XML,CSV,JSON,ARCHIMATE","","0","20","41","1"
"47efebde","integration of bouded contexts through database ","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","","0","59","116","1"
"id-e205290c06b4417896edfab1cc09d549","Omnibus RB","GitHub","","","en","XML,CSV,JSON,ARCHIMATE","","0","62","50","2"
"e6e5d986-f7b1-46e0-915a-4cdbf06d8f29","8 Derivative Contracts","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","DUPLICATE","1","61","64","6"
"id-0664d491d7cc43b79076bb4c2cecf37c","Acme Insurance","GitHub","IverBand/acme","Not found","en","XML,CSV,JSON,ARCHIMATE","DUPLICATE","1","72","65","8"
"id-60bd15bf","PSN ModelMate for API Analysis","GitHub","mwherman2000/PSN.ModelMate","MIT License","en","XML,CSV,JSON,ARCHIMATE","DUPLICATE","2","45","59","2"
"879ef491","7 segregated core","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","","0","42","97","1"
"506132fa","6a Page Controller","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","","0","30","43","1"
"5bc40983-7970-4c26-a480-5e183da9d19d","NEO Architecture Reference Model for .NET Developers (neo-charm)","GitHub","mwherman2000/neo-charm","MIT License","en","XML,CSV,JSON,ARCHIMATE","DUPLICATE","10","136","48","6"
"id-65ad485f-e159-4e69-91f1-eac09ebb9903","Interoperability testing snippet-6","GitHub","","","en","XML,CSV,JSON,ARCHIMATE","","0","21","20","1"
"49ed2ecd-bd45-42c5-9558-97e1f801c572","TELEGFONICA","GitHub","npayaresc/otecel-integracion","Not found","en","XML,CSV,JSON,ARCHIMATE","","0","300","497","19"
"862f0e22-ecd7-476e-bf97-b3a17b8826d7","4 Referring to Objects","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","","0","16","14","5"
"_WZsIAFjZEeioG62n2D5JZQ","Data model test","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","20","16","1"
"_sKoHgE3UEeqesv9gci-YTQ","Core QDF v1.7.2","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","78","58","1"
"aa3ad428","6b Two Step View","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","DUPLICATE","1","48","70","1"
"id-4895e6f2-67db-4bc3-914f-1fae17d11ef5","5 Inventory and Accounting","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","","0","96","125","17"
"d43b62e8-4d7a-4573-aa7a-d7e734fbcac3","ArchiServices","GitHub","archilight/torchlight-present","Apache License 2.0","en","XML,CSV,JSON,ARCHIMATE","","0","60","97","11"
"id-750714ea836644778401a62d20cb8dfe","Vision Module and Vehicle Controls","GitHub","rbccps-iisc/CAV_RECON","Unspecified","en","ARCHIMATE,XML,CSV,JSON","","0","19","25","1"
"_lL5PANpYEeyR_KDGOPNL5w","Surgepay Merchant Account","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","26","27","1"
"id-3f93643347a54af5b736f71857a64fa3","EA Model for next gen","GitHub","mgudmund/archilab","Not found","en","XML,CSV,JSON,ARCHIMATE","","0","24","39","2"
"e5c0f3a7-a237-44be-a17b-21d3568c827b","OpenSource Standard","GitHub","KingBain/OSS-Model","MIT License","en","XML,CSV,JSON,ARCHIMATE","","0","72","83","5"
"2091dd36-7306-4f4b-81e7-80771abc4ba7","PGL","GitHub","","","en","XML,CSV,JSON,ARCHIMATE","","0","93","146","6"
"e207ad9e","The application layer coordinates the work between contexts","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","DUPLICATE","1","41","81","1"
"1a07e439","Archivatrion","GitHub","borkdominik/CM2KG","MIT License","en","XML,CSV,JSON,ARCHIMATE","","0","14","10","1"
"_ZL-wUHOJEeuCM8KqVoRWiA","MetrologyCertification","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","20","16","1"
"2108c774-585b-4453-bc23-a2e353330f08","GRM","GitHub","GRM-Foundation/GRM","AGPL-3.0 license","en","XML,CSV,JSON,ARCHIMATE","","0","264","264","39"
"id-EAPK_1B7FFD02_4F1E_451b_B80C_F35A7EA6861D","GC Business Capability Model v2.0","GitHub","canada-ca/architecture","MIT License","en","XML,CSV,JSON,ARCHIMATE","","0","197","0","1"
"5f935242"," the same physical entity in different contexts","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","","0","43","62","1"
"2b51c929","wm-system","GitHub","cherkavi/social-financial-network","Not found","en","XML,CSV,JSON,ARCHIMATE","","0","70","82","5"
"8b8a004b","baseline_applications","GitHub","samheather/enar","Unspecified","en","ARCHIMATE,XML,CSV,JSON","","0","175","162","12"
